Compound,TreatmentGroup,P1,P2,P4,P5,P6,P7,P8,meanLog2FC,sdLog2FC,meanFC,p_value_tLOG,fdr_tLOG
TG 52:2,PRED,-0.48176256140371565,-0.392266929335959,-0.9888594423947996,-0.7742040288081731,-1.6947072835956234,0.29894634094112954,-0.6216969126812825,-0.6649358310397748,0.6077464536746642,-1.5854977510368151,0.02752349739972338,0.09457398529126125
TG 52:3,PRED,-0.432186051566948,-0.3912493482872312,-0.6918777046376681,-0.7461454351868038,-1.2920187146491025,0.13295914042627122,-0.913461947882999,-0.6191400088263544,0.44969459504555814,-1.5359593222887085,0.010800350862710605,0.05313772624453617
TG 52:4,PRED,-0.5232211277205703,-0.7466614188449987,-1.1419106252727156,-0.6853966406371441,-1.7220659387787416,-3.7509864805408166,-0.4138182383979703,-1.2834372100275653,1.1748170608327013,-2.4341822866296248,0.027680190816954515,0.09457398529126125
TG 52:5,PRED,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NA,NA
TG 53:2,PRED,-0.905491206024972,-1.565089206573354,-1.966893398304168,-1.3596659859670146,-2.5206473998712586,-0.5433244416414993,-0.8072921302093093,-1.381200538370225,0.6992091531283053,-2.604850434972603,0.0019640960647844367,0.028421625408057143
TG 54:1,PRED,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NA,NA
TG 54:2,PRED,-0.5239477724966828,-1.0479816544517195,-1.4956043442651024,-2.0278269036151273,-2.2268606156677575,0.07532765940260205,-2.7383002980745395,-1.4264562755954753,0.9950820367353244,-2.6878567951316583,0.009044731505600413,0.04836965109516742
TG 54:3,PRED,-0.42211619294936165,-0.8392641700123481,-1.0802218390267375,-1.3924479696328067,-2.087136392841048,-0.6306922468231055,-2.776792338283188,-1.3183815927955136,0.8451739022216763,-2.4938619277282,0.006167051902483604,0.04214152133363796
TG 54:4,PRED,-0.14574704139820996,-0.5420631610273623,-1.1297929089380185,-1.0422262826757434,-2.0343922706596684,-0.1743260478107824,-1.0648832325970181,-0.8762044207295433,0.6591308398939063,-1.8355398305400383,0.012562902823643866,0.05943219412723829
TG 54:5,PRED,-0.05373435209636221,2.103020332131365,-0.783431642527108,-1.0565257420936962,-2.051000015368117,0.2566445444638993,-0.735014189411079,-0.331434437843014,1.3037999282822634,-1.25826381497764,0.5262618309524226,0.696023711904817
TG 54:6,PRED,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NA,NA
TG 55:0,PRED,-3.1341134290388313,2.3067676251189715,-0.8474033270193645,-0.7889020017874048,-1.6597052728908392,-3.222642101456322,-0.8144427214615982,-1.1657773183621984,1.8607528042378514,-2.2435406412575127,0.14847616870629643,0.3043761458479077
TG 55:1,PRED,-4.686439203259948,-1.3085810617124563,-1.138776302871648,-0.9740964619664706,-1.4090791708254473,-0.6717573842952292,-0.3385826979840009,-1.5039017547021714,1.4514434831074994,-2.8360869316552395,0.03367430604443602,0.10485923148014255
TG 56:5,PRED,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NA,NA
TG 56:6,PRED,-0.677298549403479,-0.8922130499613071,-0.8112968025191309,-0.38555571993033616,-1.7104672633419327,-3.5287944196020096,-0.9154739672544958,-1.2744428245732415,1.0730317232224105,-2.419053748382076,0.020007673759450208,0.07690449601288674
TG 57:1,PRED,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NA,NA
TG 57:3,PRED,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NA,NA
