Compound,TreatmentGroup.x,P1,P2,P3,P4,P5,P6,P7,P8,meanLog2FC.x,sdLog2FC.x,meanFC.x,p_value_tLOG.x,fdr_tLOG.x,TreatmentGroup.y,T1,T2,T3,T4,T5,T6,meanLog2FC.y,sdLog2FC.y,meanFC.y,p_value_tLOG.y,fdr_tLOG.y
LPC 16:0,PRED,0.026772575597199078,-0.2725239689496406,-0.3534959731927158,0.6239529311984471,0.4384548732221736,-0.37815830762731356,0.3177791508180219,0.8318264670540894,0.15432596851503264,0.46704174681439437,1.1129015457814855,0.381102171706806,0.5892148125492325,ACTH,0.35340351447102547,0.5241707460072405,0.962964913088915,0.10920529668706488,0.3648151289338122,0.9130374626323449,0.5379328436367338,0.33745318388351264,1.451890693916907,0.011355149234899747,0.036077752632402996
LPC 16:1,PRED,-0.748488792263545,-1.1011034883270325,-0.7861316155991119,0.5741058323429629,0.3843031998252141,-0.33282389786985456,-0.03835363118033995,0.5662489549479788,-0.18528042976546602,0.6575065087223468,-1.137037968175292,0.4516164816632079,0.6494205697778845,ACTH,-0.04982964358328379,0.3542752944445328,0.6264082966183856,-0.10292913271690017,0.06855883889193201,0.41252162547759974,0.21816754652204437,0.28991987645271883,1.1632551276391878,0.1246232475467039,0.22184705768952254
LPC 17:0,PRED,-0.8358186883986528,-0.9932376371780193,-1.02103315342229,-0.39916376753819705,0.03879402927644506,-0.4519689897840697,-0.13225765881473084,0.2155048419835146,-0.4473976279845,0.4713737623682421,-1.3635783777640242,0.031331564192095866,0.11503828046650123,ACTH,0.12651432043639857,-0.4009200046635185,0.42466608237844383,-0.20592383483215684,0.3801228684935957,-0.4260719473393474,-0.016935419254430772,0.38047298973748955,-1.0118079074827488,0.9174188801349561,0.9360656053409511
LPC 17:1,PRED,-0.2756105918053889,-0.7232219243976727,-0.6924903554967207,0.624315523278483,0.8234738648100455,0.034276866071156056,0.17171174819495774,0.6565342690151617,0.0773736749587527,0.6047711150423017,1.055095563821658,0.7281294840585386,0.8113150656373271,ACTH,0.49226552849457567,0.6562371250864046,1.1960552664636837,0.00667513119469339,0.554431705515964,0.4600555414937189,0.5609533830415067,0.3833011094071721,1.4752437876256341,0.015794907223353513,0.04505138310297422
LPC 18:0,PRED,-0.4168008754264385,-0.8168375874859708,-0.6476567275534741,-0.09491085453851078,0.3106856085127007,-0.5911736115858166,-0.01668917369931588,0.15960644112562086,-0.26422209758140064,0.41103908699747205,-1.2009883009746665,0.11187046889431293,0.2798355258526165,ACTH,0.011010290442189133,-0.29227258210068335,0.46366849789688136,-0.8258804673613113,-0.1908781251856763,-0.6935010167392336,-0.2546422338413057,0.4713668690972921,-1.1930398508296816,0.243025939323918,0.36094385071185453
LPC 18:1,PRED,-0.2880849952287209,-0.8469459666833346,-0.8265626374614399,0.5675365585058967,0.6737297744348322,-0.5347814501386406,-0.05405505660254408,0.6558474420906155,-0.08166454138541696,0.6464432380452517,-1.0582383023745863,0.7313877649765332,0.8113150656373271,ACTH,0.25649568063614897,0.24190141117353958,0.8462180751891,0.03931984076605643,0.3566457822135624,0.23945879844218868,0.33000659807009936,0.2731475824790197,1.2570191234022858,0.031541439605714705,0.0767129423141357
LPC 18:2,PRED,0.1938852921262927,-0.17194739978942397,-0.07305162156919286,1.1548825100121876,0.34000869381160076,-0.9117418446096727,-0.029114600837229332,0.39249045023770623,0.11192643492278355,0.5864911237979428,1.080670295715125,0.6060859946847902,0.7511211174831983,ACTH,0.5025173276491915,1.0956656266977602,1.482597028358893,0.5462274002869715,1.0395454712274501,0.13565156123563238,0.8003674025759832,0.4909161658807693,1.7415445789367383,0.010389892762196203,0.03431398793830588
LPC 18:3,PRED,0.3242518053767361,-0.053183853057871266,-0.08339011453132322,1.3619154775905866,0.588114229868387,-0.2827629939624183,0.3213115103164014,0.9109569406000656,0.3859016252750705,0.5525643869549741,1.306676151008662,0.08879149111907024,0.23486781521818578,ACTH,0.5833537001323891,0.6421818686526075,1.0724744644835467,0.6877357411961144,1.1944862333838255,0.44973793450965727,0.77166165705969,0.29399738508904955,1.7072349985934567,0.0013522207696497483,0.012121693327931672
LPC 19:0,PRED,-1.3858551291591512,-2.14034048431993,-1.7531047667097888,-1.1790159463339598,0.03159953330925567,-1.3902040376018558,-0.9561657145202623,-0.5083211076766787,-1.1601759566265464,0.6869549547235794,-2.234846830023532,0.0020196559367355368,0.022583425474406456,ACTH,-0.8730903906991101,-1.5732612518461226,-0.8780388171572276,-1.612251740987296,-0.8706706328925214,-1.8958286011801222,-1.2838569057937335,0.4626548921931924,-2.4348905198908932,0.001049170188352131,0.010972571553182705
LPC 20:1,PRED,-0.28645959016286227,-0.521335158495866,-0.5768868546016902,0.2678016058939244,0.85869811766463,-0.7378379125581962,0.1850690304737836,0.2287785415710314,-0.07277152752690566,0.5456787955350234,-1.051735207915307,0.7172017813808593,0.8113150656373271,ACTH,-0.32324488799386664,-0.5033780181596363,0.14833375690283498,-0.4972382907954456,-0.24099590678465255,-0.640778703332221,-0.34288367502716455,0.2794231895104093,-1.2682891326355932,0.029899421797667962,0.07357602814916332
LPC 20:2,PRED,-0.4028890407191432,-0.43771004332694835,-0.4741479180932355,0.4483929466661218,0.9115866219123734,-0.7575860885846158,0.013632068447617897,0.35475659229577833,-0.04299560767525644,0.5727076154688427,-1.030250816988343,0.8378909668900127,0.884640248304477,ACTH,0.14449117788282567,-0.26599057767410994,0.6585539196456246,0.404948273268,0.79290723000296,0.15824755335100837,0.31552626274605144,0.3861886289466144,1.2444655235832325,0.10177071330106116,0.19317292265320213
LPC 20:3,PRED,-0.34365631924593176,-0.5882528425794927,-0.4400635781874311,0.4883960249063781,0.8582442167471143,-0.506224550668751,-0.11058779866453841,0.4278413185529563,-0.02678794114246204,0.5449392152971905,-1.0187414428445873,0.8933350241177874,0.9118689457799821,ACTH,0.8445521530663573,1.3460942209570423,1.9276097831528016,1.0838132614475426,1.6934481793824332,0.6228395330020817,1.2530595218347098,0.5000630922791756,2.3834634826065946,0.0016671933171573344,0.012803619132259974
LPC 20:4,PRED,-0.7880026026372475,-0.8384879178220614,-0.2596923361358838,0.798080098357061,0.6953599715402227,-1.0059891105529017,-0.07546974805258323,0.23256199351817958,-0.15520495647315183,0.6960083906615561,-1.1135798077088814,0.5482549106588861,0.717397383096202,ACTH,-0.6672023934574367,-0.857803170673448,-0.22386484658486622,-0.7881085638292001,-0.07372204212776004,-1.4532423475919263,-0.6773238940441062,0.49334738411016094,-1.5991706442004194,0.020043466775325685,0.05409580817856717
LPC 20:5,PRED,2.6114361511898925,-0.6423336372745849,-0.37484584125781045,3.5413427798374597,3.0902783245280174,2.4108134836138486,3.1414298066936586,3.6782340796692385,2.182044393374965,1.714771806397229,4.537961575858607,0.008749502841768824,0.048917674978980245,ACTH,-0.1213835879419428,-0.17391620514235787,0.7427647732123472,-0.059857044641188344,0.47644452895604605,-0.06604689620609407,0.13300092803946836,0.3809171291673802,1.096572293977469,0.431469566688658,0.530876770778692
LPC 22:0,PRED,0.03284013011180828,-0.9817289852021618,-1.1023191063736673,-0.7128667536621743,-0.32622062994084383,-0.7813341079483765,-0.24039679891176874,0.009947653296684726,-0.5127598248288124,0.44070852952829453,-1.4267769607645147,0.0132870528809182,0.06639245119650662,ACTH,-0.553074612322562,-1.2353431452511332,-0.7942997797537007,-1.5708409026569432,-0.9227518691152182,-0.7865502643792343,-0.977143428913132,0.3665226162826973,-1.9685637437237746,0.0012597312685230105,0.011710835125899098
LPC 22:1,PRED,-0.37658588068411264,4.000119451201493e-4,-0.47225715997207784,0.4069953622189313,0.20714536081007026,-0.4060090740753977,0.12517469199677456,0.044031982316262284,-0.05888808818055371,0.32251395713678466,-1.0416626226856218,0.621453409040424,0.757738917098103,ACTH,-0.12433698349402722,-1.0107368517757818,-0.46554298332836197,-0.6232055701532655,-0.4041456265396584,-0.2273962174046858,-0.4758940387826301,0.31570746942268324,-1.3907798197439636,0.01411134260995934,0.04181633655498123
LPC 22:5,PRED,-0.9174082405876566,-1.0352279918951706,-0.43634405609579435,0.3949900828126142,1.292135705601698,-0.7226598405258982,-0.08193789108463226,0.4075675120300469,-0.1373605899680991,0.7994178010239964,-1.0998910238357746,0.6418133640967438,0.7627347225497535,ACTH,-0.41164432832252723,-1.6453680729134497,-0.8573941327220886,-0.8246473591660318,-0.236985463586948,-0.8299664322582041,-0.8010009648282083,0.4872876417274311,-1.7423095494849123,0.0100563331891039,0.03431398793830588
